"","scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","NMI","NMIc","warnings"
"148","sc2",2,100,"LCA",4,5,4,0.95153942428035,0.95153942428035,0.866151960894743,0.866151960894743,"none"
"149","sc2",2,100,"GLM",4,5,6,0.90828535669587,0.95153942428035,0.733781814259052,0.866151960894743,"none"
"150","sc2",2,100,"BMEM",4,5,6,0.922302878598248,0.979574468085106,0.771549971894519,0.937864398836153,"none"
"151","sc2",2,200,"LCA",4,1,4,0.936160100062539,0.936160100062539,0.828537921069162,0.828537921069162,"none"
"152","sc2",2,200,"GLM",4,1,6,0.89718574108818,0.936160100062539,0.694072122554339,0.828537921069162,"none"
"153","sc2",2,200,"BMEM",4,1,6,0.888880550343965,0.927154471544715,0.670938524077527,0.789367379234273,"none"
"154","sc2",2,200,"LCA",4,2,4,0.908242651657286,0.908242651657286,0.757447433823969,0.757447433823969,"none"
"155","sc2",2,200,"GLM",4,2,6,0.884577861163227,0.908242651657286,0.65484257033632,0.757447433823969,"none"
"156","sc2",2,200,"BMEM",4,2,6,0.896385240775485,0.908242651657286,0.684532641164427,0.757447433823969,"none"
"157","sc2",2,200,"LCA",4,3,4,0.93921200750469,0.93921200750469,0.816788027399642,0.816788027399642,"none"
"158","sc2",2,200,"GLM",4,3,6,0.903889931207004,0.93921200750469,0.701512457274197,0.816788027399642,"none"
"159","sc2",2,200,"BMEM",4,3,6,0.903689806128831,0.962676672920575,0.695932974278957,0.881238260089514,"none"
"160","sc2",2,200,"LCA",4,4,4,0.916797998749218,0.916797998749218,0.774383684094584,0.774383684094584,"none"
"161","sc2",2,200,"GLM",4,4,6,0.881325828642902,0.916797998749218,0.644239977732243,0.774383684094584,"none"
"162","sc2",2,200,"BMEM",4,4,6,0.877423389618512,0.916797998749218,0.634717752306216,0.774383684094584,"none"
"163","sc2",2,200,"LCA",4,5,4,0.918048780487805,0.918048780487805,0.781006488925955,0.781006488925955,"none"
"164","sc2",2,200,"GLM",4,5,6,0.88968105065666,0.91379612257661,0.67115727216884,0.763955796749513,"none"
"165","sc2",2,200,"BMEM",4,5,4,0.806729205753596,0.806729205753596,0.55350182858355,0.55350182858355,"none"
"166","sc2",2,400,"LCA",4,1,4,0.957436698968428,0.957436698968428,0.856589832713328,0.856589832713328,"none"
"167","sc2",2,400,"GLM",4,1,6,0.89601750547046,0.957311659893717,0.691420259105084,0.854048456715917,"none"
"168","sc2",2,400,"BMEM",4,1,6,0.892241325414192,0.959487339793686,0.680858962099281,0.859312986756465,"none"
"169","sc2",2,400,"LCA",4,2,4,0.93833072835261,0.93833072835261,0.81625716128574,0.81625716128574,"none"
"170","sc2",2,400,"GLM",4,2,5,0.874110659581119,0.93567989996874,0.645503785670327,0.8065956927433,"none"
"171","sc2",2,400,"BMEM",4,2,5,0.880037511722413,0.951197249140356,0.666712326839445,0.84118359730698,"none"
"172","sc2",2,400,"LCA",4,3,4,0.940318849640513,0.940318849640513,0.824323744884018,0.824323744884018,"none"
"173","sc2",2,400,"GLM",4,3,6,0.894942169427946,0.940318849640513,0.660785248342874,0.824323744884018,"none"
"174","sc2",2,400,"BMEM",4,3,6,0.894942169427946,0.949021569240388,0.660785248342874,0.850353609664364,"none"
"175","sc2",2,400,"LCA",4,4,4,0.936780243826196,0.936780243826196,0.809724799405612,0.809724799405612,"none"
"176","sc2",2,400,"GLM",4,4,6,0.899893716786496,0.936780243826196,0.679795210873732,0.809724799405612,"none"
"177","sc2",2,400,"BMEM",4,4,5,0.813354173179119,0.933454204438887,0.553831267209921,0.801399599419983,"none"
"178","sc2",2,400,"LCA",4,5,4,0.920625195373554,0.920625195373554,0.760940673716949,0.760940673716949,"none"
"179","sc2",2,400,"GLM",4,5,6,0.890103157236636,0.920625195373554,0.666120070882323,0.760940673716949,"none"
"180","sc2",2,400,"BMEM",4,5,6,0.884413879337293,0.771466083150985,0.632266247111291,0.479776779449041,"none"
"181","sc2",4,100,"LCA",4,1,4,1,1,1,1,"none"
"182","sc2",4,100,"GLM",4,1,6,0.93155722326454,1,0.786656414796534,1,"none"
"183","sc2",4,100,"BMEM",4,1,6,0.945966228893058,0.980387742338962,0.816077895439776,0.938719976316948,"none"
"184","sc2",4,100,"LCA",4,2,4,0.981588492808005,0.981588492808005,0.939921849469589,0.939921849469589,"none"
"185","sc2",4,100,"GLM",4,2,6,0.929355847404628,0.989593495934959,0.766085721164985,0.968559918554066,"none"
"186","sc2",4,100,"BMEM",4,2,6,0.947166979362101,0.989593495934959,0.809186872303114,0.968559918554066,"none"
"187","sc2",4,100,"LCA",4,3,4,1,1,1,1,"none"
"188","sc2",4,100,"GLM",4,3,6,0.952370231394622,0.990594121325829,0.802139514614218,0.969389493281113,"none"
"189","sc2",4,100,"BMEM",4,3,6,0.944765478424015,0.981588492808005,0.777806706341012,0.939971973669197,"none"
"190","sc2",4,100,"LCA",4,4,4,1,1,1,1,"none"
"191","sc2",4,100,"GLM",4,4,6,0.917948717948718,1,0.786611953380513,1,"none"
"192","sc2",4,100,"BMEM",4,4,6,0.980988117573483,1,0.898251061909643,1,"none"
"193","sc2",4,100,"LCA",4,5,4,1,1,1,1,"none"
"194","sc2",4,100,"GLM",4,5,4,1,1,1,1,"none"
"195","sc2",4,100,"BMEM",4,5,6,0.96838023764853,0.981588492808005,0.869497564291594,0.938978627368947,"none"
"196","sc2",4,200,"LCA",4,1,4,1,1,1,1,"none"
"197","sc2",4,200,"GLM",4,1,6,0.946983432322601,0.995648640200062,0.814756295212802,0.982531471005326,"none"
"198","sc2",4,200,"BMEM",4,1,6,0.968640200062519,0.990697092841513,0.870687439457735,0.96435838616747,"none"
"199","sc2",4,200,"LCA",4,2,4,0.989496717724289,0.989496717724289,0.963972916415992,0.963972916415992,"none"
"200","sc2",4,200,"GLM",4,2,6,0.946983432322601,1,0.831089473393866,1,"none"
